order_id,order_date,customer_age,product_category,order_value,discount_applied,payment_method,delivery_time_days,customer_rating,order_status
49,2024-08-14,40,Electronics,16914.03,Yes,UPI,10,3.5,Delivered
50,2024-12-09,56,Fashion,1253.16,No,UPI,7,4.0,Delivered
51,2024-05-10,51,Electronics,17750.97,Yes,Card,5,1.1,Cancelled
52,2024-04-20,36,Home & Kitchen,13669.68,Yes,UPI,3,2.3,Returned
53,2024-03-18,39,Sports,8553.84,Yes,Card,4,1.6,Cancelled
54,2024-06-12,28,Books,11960.47,No,Wallet,2,3.4,Returned
55,2024-04-08,21,Home & Kitchen,15726.89,Yes,UPI,5,4.5,Returned
56,2024-02-17,26,Beauty,20047.81,No,COD,3,3.5,Returned
57,2024-12-25,46,Fashion,23151.35,Yes,COD,10,3.1,Delivered
58,2024-01-27,35,Electronics,12789.12,Yes,Card,7,2.3,Delivered
59,2024-08-31,48,Home & Kitchen,12297.72,No,Wallet,4,3.3,Cancelled
60,2024-05-28,50,Fashion,17616.16,No,Wallet,7,3.9,Returned
61,2024-04-13,20,Home & Kitchen,24651.19,No,UPI,3,3.2,Cancelled
62,2024-08-16,27,Electronics,24914.59,No,Card,7,4.5,Delivered
63,2024-08-25,56,Electronics,23590.01,Yes,Card,1,2.7,Returned
64,2024-09-21,46,Sports,13309.86,Yes,Wallet,8,1.9,Delivered
65,2024-04-22,30,Electronics,21925.06,Yes,Card,7,4.0,Cancelled
66,2024-02-26,39,Home & Kitchen,1722.58,Yes,Card,6,1.9,Returned
67,2024-02-16,53,Fashion,9044.76,Yes,COD,7,3.4,Returned
68,2024-02-08,28,Home & Kitchen,6682.37,No,Wallet,6,1.5,Returned
69,2024-10-31,19,Books,12463.38,Yes,COD,8,4.8,Delivered
70,2024-03-01,31,Fashion,17035.56,Yes,UPI,2,3.2,Cancelled
71,2024-07-14,42,Home & Kitchen,2924.15,No,UPI,5,2.8,Cancelled
72,2024-12-10,19,Electronics,10818.18,Yes,Card,1,1.1,Returned
73,2024-05-07,20,Beauty,12208.49,Yes,COD,6,3.8,Delivered
74,2024-09-11,65,Beauty,9720.5,No,Card,4,1.6,Cancelled
75,2024-07-21,49,Home & Kitchen,19345.35,No,COD,4,1.4,Cancelled
76,2024-08-13,30,Electronics,24570.56,Yes,Card,5,1.5,Cancelled
77,2024-01-11,49,Sports,9378.63,Yes,Card,9,2.8,Delivered
78,2024-09-21,25,Sports,11162.49,Yes,Wallet,2,2.1,Cancelled
79,2024-11-05,44,Books,4643.52,Yes,Card,2,2.8,Cancelled
80,2024-04-10,40,Home & Kitchen,3627.73,Yes,Wallet,4,2.2,Delivered
81,2024-02-10,38,Sports,13636.92,Yes,COD,9,4.2,Cancelled
82,2024-12-21,65,Beauty,23898.25,Yes,Card,5,2.4,Cancelled
83,2024-02-16,28,Fashion,23610.47,Yes,UPI,5,3.1,Delivered
84,2024-03-05,57,Home & Kitchen,6214.82,Yes,Wallet,10,3.7,Cancelled
85,2024-03-03,62,Home & Kitchen,18611.34,Yes,Card,8,4.6,Returned
86,2024-02-21,18,Home & Kitchen,11775.92,No,Wallet,3,4.0,Returned
87,2024-05-01,39,Fashion,24425.26,Yes,Card,10,2.2,Returned
88,2024-08-01,30,Fashion,5303.22,Yes,Wallet,5,1.7,Cancelled
89,2024-03-30,43,Fashion,23838.92,No,Wallet,5,1.6,Delivered
90,2024-04-08,38,Beauty,16524.54,No,UPI,6,3.0,Cancelled
91,2024-01-11,32,Sports,4686.58,No,UPI,1,1.2,Delivered
92,2024-07-27,30,Electronics,19581.21,No,Card,9,3.1,Returned
93,2024-12-15,48,Beauty,5759.6,Yes,UPI,9,2.6,Delivered
94,2024-07-16,31,Home & Kitchen,3509.0,No,Wallet,2,1.8,Returned
95,2024-10-23,45,Beauty,18416.33,No,COD,9,2.0,Delivered
96,2024-06-06,38,Beauty,22365.0,No,Wallet,10,3.1,Returned
97,2024-01-09,63,Electronics,10469.74,Yes,UPI,1,4.7,Delivered
98,2024-12-09,49,Home & Kitchen,17904.46,Yes,COD,10,1.9,Cancelled
99,2024-11-19,33,Sports,6337.55,No,UPI,1,1.6,Delivered
100,2024-09-23,41,Electronics,18611.18,No,UPI,8,3.9,Delivered
101,2024-01-20,31,Electronics,3010.85,Yes,Wallet,3,3.3,Returned
102,2024-12-20,47,Books,6786.24,No,COD,4,1.3,Delivered
103,2024-06-15,51,Electronics,20383.06,Yes,COD,10,3.1,Delivered
104,2024-05-07,48,Sports,23542.63,Yes,Wallet,6,2.2,Delivered
105,2024-02-16,39,Fashion,14835.14,No,COD,8,3.1,Cancelled
106,2024-06-21,36,Beauty,18781.73,No,UPI,4,2.8,Delivered
107,2024-04-07,27,Electronics,15432.79,No,Wallet,7,1.2,Delivered
108,2024-12-09,35,Books,10957.92,Yes,COD,8,1.8,Returned
109,2024-03-12,50,Books,10395.78,No,UPI,8,1.5,Returned
110,2024-03-29,52,Beauty,5808.98,Yes,Wallet,6,1.6,Returned
111,2024-03-08,60,Sports,15844.32,No,Card,9,2.8,Cancelled
112,2024-03-13,59,Books,470.72,No,Wallet,2,4.8,Cancelled
113,2024-01-03,49,Electronics,19016.93,Yes,Wallet,2,3.7,Cancelled
114,2024-04-26,51,Fashion,9164.67,No,UPI,7,2.8,Delivered
115,2024-09-23,36,Electronics,683.75,Yes,Wallet,9,3.2,Returned
116,2024-07-06,45,Home & Kitchen,5775.27,Yes,COD,8,3.1,Delivered
117,2024-09-15,24,Fashion,9464.91,Yes,UPI,5,2.5,Cancelled
118,2024-11-13,53,Beauty,1546.33,No,UPI,2,2.5,Cancelled
119,2024-03-31,25,Home & Kitchen,14555.51,No,Card,2,3.8,Returned
120,2024-10-06,53,Sports,8600.12,Yes,Card,7,4.6,Returned
121,2024-04-30,30,Home & Kitchen,21791.12,Yes,Card,5,2.6,Returned
122,2024-01-22,37,Beauty,22120.79,Yes,COD,1,3.1,Delivered
123,2024-11-14,44,Books,14497.43,Yes,UPI,10,3.8,Cancelled
124,2024-07-20,29,Fashion,18010.3,Yes,Card,10,4.3,Cancelled
125,2024-11-18,55,Electronics,20561.25,Yes,COD,7,4.6,Cancelled
126,2024-06-18,33,Fashion,3892.03,No,COD,7,2.5,Cancelled
127,2024-02-29,21,Home & Kitchen,3260.22,No,UPI,8,3.5,Cancelled
128,2024-07-08,46,Fashion,6154.92,Yes,COD,5,4.8,Cancelled
129,2024-06-02,45,Home & Kitchen,9484.71,No,Card,1,4.9,Delivered
130,2024-04-16,32,Home & Kitchen,13953.91,No,UPI,5,4.5,Delivered
131,2024-10-28,20,Home & Kitchen,4987.4,Yes,Card,5,1.4,Cancelled
132,2024-06-05,33,Home & Kitchen,2452.56,Yes,COD,6,1.3,Cancelled
133,2024-07-31,30,Electronics,24359.82,Yes,Card,7,3.3,Returned
134,2024-11-15,58,Fashion,23971.74,Yes,Card,10,3.8,Delivered
135,2024-02-23,58,Electronics,23812.34,No,UPI,7,4.0,Cancelled
136,2024-02-19,24,Books,21822.83,Yes,Card,10,1.5,Delivered
137,2024-04-22,44,Sports,18967.81,No,COD,3,3.5,Returned
138,2024-10-30,41,Books,8076.43,No,UPI,8,4.8,Returned
139,2024-11-09,52,Sports,22384.85,No,UPI,5,1.5,Cancelled
140,2024-12-07,36,Books,19961.75,No,Card,2,1.6,Returned
141,2024-02-03,57,Fashion,16505.36,No,COD,10,1.9,Cancelled
142,2024-03-26,54,Fashion,20809.28,No,UPI,8,3.1,Delivered
143,2024-06-02,42,Home & Kitchen,6855.51,No,UPI,1,1.1,Returned
144,2024-09-21,30,Electronics,2410.72,Yes,Card,6,2.2,Returned
145,2024-01-18,24,Home & Kitchen,15847.55,Yes,COD,8,1.3,Delivered
146,2024-09-24,50,Fashion,13372.6,Yes,Card,4,3.5,Cancelled
147,2024-02-28,43,Home & Kitchen,24643.05,Yes,Wallet,3,2.0,Delivered
148,2024-04-06,24,Beauty,370.39,Yes,Wallet,6,1.9,Delivered
149,2024-07-19,40,Sports,24702.37,No,Wallet,10,2.1,Returned
150,2024-05-25,40,Fashion,24880.06,No,Card,1,3.4,Returned
151,2024-12-05,18,Electronics,3294.4,Yes,Wallet,3,3.6,Returned
152,2024-06-22,48,Beauty,2219.2,No,COD,4,5.0,Delivered
153,2024-03-16,50,Beauty,1485.2,No,UPI,3,4.9,Cancelled
154,2024-06-27,65,Electronics,11740.33,Yes,Wallet,6,2.1,Delivered
155,2024-11-17,41,Books,1091.21,No,UPI,3,4.0,Cancelled
156,2024-11-01,28,Beauty,8772.13,No,COD,10,4.1,Cancelled
157,2024-05-16,40,Sports,6498.57,No,UPI,7,2.3,Returned
158,2024-04-22,47,Fashion,21274.0,Yes,Wallet,2,2.8,Returned
159,2024-07-21,64,Home & Kitchen,15745.92,Yes,Wallet,6,2.2,Delivered
160,2024-01-01,61,Books,7606.84,Yes,Card,4,4.0,Returned
161,2024-06-18,59,Fashion,24838.27,No,UPI,1,1.2,Returned
162,2024-04-22,41,Fashion,6963.06,No,UPI,7,5.0,Delivered
163,2024-07-31,46,Beauty,11821.98,Yes,Card,2,4.6,Delivered
164,2024-11-25,25,Electronics,7937.04,No,UPI,2,1.1,Cancelled
165,2024-12-08,38,Books,2842.32,Yes,UPI,4,3.7,Returned
166,2024-04-10,41,Home & Kitchen,19294.21,No,Wallet,7,3.2,Cancelled
167,2024-11-25,41,Books,24624.19,Yes,Card,4,2.0,Cancelled
168,2024-04-02,44,Fashion,7856.69,No,UPI,5,2.6,Returned
169,2024-05-29,63,Home & Kitchen,15281.18,No,COD,7,2.7,Delivered
170,2024-03-31,57,Books,5878.72,Yes,COD,10,2.1,Cancelled
171,2024-08-10,26,Electronics,16330.36,No,Card,8,4.8,Returned
172,2024-12-23,46,Fashion,2078.33,No,COD,6,4.7,Cancelled
173,2024-11-13,51,Fashion,16410.93,Yes,UPI,1,4.1,Returned
174,2024-01-20,23,Beauty,22874.5,No,UPI,5,3.7,Delivered
175,2024-09-08,30,Home & Kitchen,24877.17,Yes,Wallet,8,3.1,Returned
176,2024-01-13,39,Sports,24577.33,Yes,Wallet,6,4.4,Delivered
177,2024-04-19,65,Books,13335.92,Yes,UPI,1,3.6,Returned
178,2024-01-16,41,Beauty,3691.54,No,COD,3,2.6,Delivered
179,2024-06-30,54,Fashion,7751.78,Yes,UPI,10,1.5,Returned
180,2024-08-02,47,Beauty,13186.11,Yes,UPI,1,3.6,Delivered
181,2024-12-08,30,Books,7778.04,Yes,UPI,6,2.3,Returned
182,2024-07-26,52,Home & Kitchen,8453.84,Yes,COD,7,3.5,Cancelled
183,2024-02-29,28,Fashion,4004.73,Yes,UPI,9,1.7,Delivered
184,2024-04-23,30,Home & Kitchen,7068.98,No,UPI,6,1.9,Delivered
185,2024-10-24,59,Fashion,14537.54,Yes,COD,6,2.7,Cancelled
186,2024-09-23,56,Books,16326.81,No,UPI,9,1.4,Returned
187,2024-12-10,37,Fashion,7507.47,No,UPI,1,5.0,Cancelled
188,2024-02-27,39,Home & Kitchen,8993.1,Yes,COD,4,3.5,Delivered
189,2024-10-25,40,Home & Kitchen,24208.97,Yes,COD,5,1.9,Cancelled
190,2024-11-02,33,Sports,16854.12,No,Wallet,7,1.2,Cancelled
191,2024-06-24,59,Books,22128.35,No,COD,9,4.0,Delivered
192,2024-09-15,36,Books,1984.99,No,UPI,6,2.9,Delivered
193,2024-05-04,44,Beauty,3390.16,No,UPI,8,2.9,Returned
194,2024-11-23,23,Home & Kitchen,18481.43,Yes,Card,2,4.7,Returned
195,2024-01-01,21,Beauty,12308.39,No,COD,4,3.6,Returned
196,2024-05-25,35,Fashion,12364.22,Yes,UPI,1,2.7,Cancelled
197,2024-12-31,48,Sports,16659.44,No,Card,5,3.6,Returned
198,2024-11-20,57,Electronics,19284.56,Yes,UPI,9,4.8,Delivered
199,2024-04-08,22,Electronics,6795.73,Yes,UPI,3,2.3,Delivered
200,2024-10-09,28,Sports,21553.59,No,COD,2,1.3,Cancelled
201,2024-06-04,57,Beauty,13612.34,No,Wallet,8,2.9,Returned
202,2024-01-22,56,Sports,23957.37,No,Card,8,2.1,Delivered
203,2024-05-18,42,Electronics,1221.15,No,COD,5,2.3,Cancelled
204,2024-06-08,51,Home & Kitchen,18200.25,Yes,UPI,1,3.8,Returned
205,2024-06-02,63,Beauty,9850.32,No,Wallet,3,4.3,Returned
206,2024-10-22,36,Electronics,19275.03,Yes,Wallet,5,3.9,Delivered
207,2024-08-25,23,Electronics,18865.51,Yes,Wallet,5,4.9,Returned
208,2024-01-13,34,Sports,7301.83,No,Card,5,3.7,Returned
209,2024-01-22,27,Electronics,17747.33,Yes,Card,9,3.1,Delivered
210,2024-09-25,22,Sports,16657.42,No,Wallet,7,3.3,Returned
211,2024-09-09,37,Electronics,21619.01,No,Wallet,3,3.9,Returned
212,2024-10-26,32,Books,15470.44,No,Wallet,5,1.0,Cancelled
213,2024-12-23,53,Beauty,6206.8,No,Card,5,3.5,Delivered
214,2024-08-12,60,Sports,4143.14,Yes,COD,6,4.4,Returned
215,2024-01-26,46,Books,8077.8,No,Wallet,4,3.1,Delivered
216,2024-11-15,35,Electronics,10675.41,No,Wallet,6,1.9,Delivered
217,2024-06-12,43,Electronics,17850.38,No,COD,1,3.7,Delivered
218,2024-08-18,52,Beauty,8570.04,Yes,UPI,3,1.6,Returned
219,2024-09-01,60,Sports,7288.78,Yes,Card,4,4.1,Returned
220,2024-04-04,64,Electronics,24061.47,No,Card,4,3.9,Returned
221,2024-06-22,64,Fashion,5845.81,No,Wallet,7,4.4,Cancelled
222,2024-10-05,42,Electronics,17508.79,Yes,COD,6,2.5,Delivered
223,2024-10-22,35,Beauty,8989.94,No,UPI,5,2.1,Delivered
224,2024-02-19,61,Fashion,4811.06,No,Wallet,4,1.4,Cancelled
225,2024-10-01,30,Electronics,19826.03,No,Card,10,3.1,Delivered
226,2024-07-29,28,Sports,11954.78,Yes,COD,9,4.4,Delivered
227,2024-08-23,47,Fashion,23371.95,Yes,UPI,3,2.0,Returned
228,2024-02-08,50,Sports,13172.27,Yes,Card,6,2.2,Delivered
229,2024-02-01,26,Fashion,3948.38,Yes,UPI,4,5.0,Delivered
230,2024-12-30,47,Sports,10394.48,Yes,Wallet,5,3.9,Returned
231,2024-02-13,34,Beauty,1088.86,No,Wallet,5,2.4,Delivered
232,2024-07-03,34,Home & Kitchen,2552.81,Yes,Card,6,3.6,Cancelled
233,2024-01-25,53,Fashion,16429.12,No,Card,8,4.3,Delivered
234,2024-05-31,39,Books,16204.13,Yes,UPI,7,1.3,Delivered
235,2024-11-17,52,Books,16139.82,No,Card,7,1.9,Cancelled
236,2024-04-09,29,Electronics,8026.61,No,Wallet,5,3.8,Delivered
237,2024-02-15,29,Fashion,20185.09,No,Wallet,5,1.2,Delivered
238,2024-01-05,18,Sports,22328.36,No,Card,10,4.7,Cancelled
239,2024-07-15,64,Books,2359.45,No,Card,6,3.0,Delivered
240,2024-02-10,65,Beauty,13901.12,Yes,Card,10,3.8,Cancelled
241,2024-07-10,43,Electronics,11490.48,Yes,COD,1,4.8,Cancelled
242,2024-03-01,22,Books,23912.2,No,UPI,10,4.1,Delivered
243,2024-01-10,21,Books,20005.33,No,Card,8,3.3,Cancelled
244,2024-01-14,54,Sports,24551.55,No,COD,1,1.2,Delivered
245,2024-05-09,39,Sports,6412.19,Yes,Card,5,4.9,Returned
246,2024-11-21,62,Home & Kitchen,16489.58,Yes,UPI,6,2.8,Cancelled
247,2024-01-17,55,Beauty,23833.67,Yes,Card,5,4.0,Returned
248,2024-12-21,25,Books,24840.46,No,COD,5,2.9,Returned
249,2024-11-10,40,Electronics,1607.13,Yes,UPI,6,2.1,Cancelled
250,2024-08-02,32,Fashion,14043.44,No,UPI,5,4.6,Returned
251,2024-03-17,43,Sports,3125.94,Yes,UPI,4,4.1,Returned
252,2024-10-27,24,Books,15813.65,Yes,UPI,4,1.6,Cancelled
253,2024-10-16,61,Home & Kitchen,16705.02,Yes,Card,5,3.8,Returned
254,2024-11-17,26,Electronics,1942.75,No,UPI,6,4.4,Returned
255,2024-01-31,61,Books,13077.68,Yes,Wallet,10,1.1,Cancelled
256,2024-01-30,34,Beauty,6046.26,No,COD,9,3.9,Delivered
257,2024-11-12,28,Books,2176.28,Yes,Card,2,2.2,Cancelled
258,2024-07-14,50,Sports,5742.68,Yes,Wallet,7,1.1,Delivered
259,2024-03-11,27,Fashion,7912.03,No,COD,9,2.3,Cancelled
260,2024-09-26,26,Beauty,8087.86,No,Card,7,4.6,Delivered
261,2024-01-24,34,Home & Kitchen,1605.08,Yes,UPI,3,4.2,Returned
262,2024-04-09,53,Beauty,19227.51,No,Card,8,1.6,Returned
263,2024-02-02,55,Sports,17357.28,Yes,Wallet,5,2.5,Returned
264,2024-11-08,33,Beauty,7777.42,No,Card,9,1.2,Returned
265,2024-10-11,32,Sports,9975.19,Yes,Wallet,5,3.4,Returned
266,2024-03-26,30,Books,14025.41,Yes,UPI,4,3.3,Delivered
267,2024-01-31,62,Sports,23143.31,No,UPI,7,3.7,Cancelled
268,2024-12-18,51,Beauty,4496.12,Yes,Card,5,3.6,Delivered
269,2024-10-03,63,Books,6485.41,No,COD,9,1.9,Returned
270,2024-09-28,57,Beauty,6766.89,Yes,COD,9,1.6,Delivered
271,2024-03-13,48,Sports,13989.23,Yes,UPI,9,1.1,Cancelled
272,2024-02-08,42,Home & Kitchen,8119.6,No,Card,9,4.9,Returned
273,2024-06-03,43,Beauty,10611.81,Yes,COD,4,4.5,Returned
274,2024-07-19,48,Fashion,20163.53,Yes,COD,4,2.2,Cancelled
275,2024-11-21,29,Home & Kitchen,20589.73,No,Card,6,3.0,Cancelled
276,2024-02-08,40,Home & Kitchen,4259.51,Yes,UPI,5,4.3,Cancelled
277,2024-04-14,28,Beauty,7213.66,No,Wallet,2,4.6,Cancelled
278,2024-04-06,55,Sports,20945.97,Yes,UPI,5,3.6,Cancelled
279,2024-04-09,52,Books,6467.87,Yes,Card,6,2.4,Delivered
280,2024-12-25,28,Books,19906.43,No,UPI,2,3.9,Delivered
281,2024-05-29,21,Electronics,4938.26,No,Card,2,4.3,Delivered
282,2024-12-01,56,Home & Kitchen,20614.03,No,Card,5,3.0,Returned
283,2024-09-15,55,Home & Kitchen,9426.57,No,Card,4,3.3,Delivered
284,2024-01-24,37,Sports,17926.73,Yes,Card,4,2.2,Returned
285,2024-07-22,24,Fashion,2291.35,Yes,UPI,9,1.0,Cancelled
286,2024-03-30,59,Sports,20021.02,No,Wallet,2,2.0,Returned
287,2024-09-21,60,Sports,12231.88,No,Wallet,1,3.6,Returned
288,2024-08-02,53,Sports,14847.88,No,Wallet,1,3.0,Returned
289,2024-09-16,24,Beauty,2072.22,Yes,Wallet,9,4.3,Returned
290,2024-06-06,58,Books,22385.86,Yes,UPI,9,4.9,Delivered
291,2024-01-05,59,Beauty,19891.24,Yes,UPI,8,3.7,Delivered
292,2024-09-19,53,Home & Kitchen,13991.29,No,UPI,5,4.0,Cancelled
293,2024-12-30,49,Sports,18649.24,Yes,UPI,7,3.6,Delivered
294,2024-02-19,49,Sports,21384.71,No,COD,10,1.9,Returned
295,2024-01-12,58,Home & Kitchen,24744.38,Yes,COD,7,3.2,Delivered
296,2024-09-07,51,Fashion,16879.27,Yes,UPI,4,2.9,Cancelled
297,2024-12-28,26,Books,12604.77,No,COD,4,2.0,Returned
298,2024-04-12,46,Sports,24598.52,Yes,COD,2,5.0,Cancelled
299,2024-11-17,20,Electronics,3265.58,Yes,Wallet,3,4.7,Cancelled
300,2024-02-07,51,Electronics,7511.42,No,Card,8,2.3,Returned
301,2024-06-22,54,Fashion,10351.75,Yes,COD,1,2.7,Returned
302,2024-04-02,45,Books,24678.68,Yes,Card,5,2.6,Cancelled
303,2024-08-03,33,Beauty,24730.13,No,COD,4,2.8,Cancelled
304,2024-11-16,38,Electronics,23829.14,Yes,COD,3,4.1,Returned
305,2024-01-31,50,Fashion,8141.07,Yes,Wallet,10,3.5,Returned
306,2024-03-07,21,Home & Kitchen,10258.83,Yes,COD,6,4.7,Cancelled
307,2024-02-22,34,Books,24977.71,Yes,Card,3,1.0,Cancelled
308,2024-02-01,42,Books,18869.59,No,Card,1,2.2,Delivered
309,2024-12-19,25,Beauty,14010.91,Yes,Wallet,6,1.2,Cancelled
310,2024-01-18,38,Beauty,17884.76,No,Wallet,2,1.1,Returned
311,2024-08-04,32,Beauty,17985.36,Yes,Card,7,2.5,Returned
312,2024-11-14,39,Sports,11186.51,Yes,COD,4,4.1,Returned
313,2024-12-30,21,Home & Kitchen,13232.38,No,Wallet,7,2.4,Cancelled
314,2024-07-17,45,Electronics,18507.01,No,Card,9,3.0,Delivered
315,2024-07-22,53,Electronics,20054.24,Yes,UPI,3,2.0,Returned
316,2024-11-01,43,Home & Kitchen,19255.4,Yes,Card,1,3.7,Delivered
317,2024-01-18,59,Books,13925.36,No,UPI,10,1.6,Delivered
318,2024-09-13,25,Fashion,11348.97,Yes,Wallet,5,2.4,Cancelled
319,2024-07-17,54,Fashion,19887.95,No,Wallet,10,2.4,Delivered
320,2024-02-14,42,Sports,16683.32,Yes,Wallet,10,4.9,Delivered
321,2024-07-12,21,Beauty,2143.19,No,Card,7,3.9,Delivered
322,2024-05-06,49,Books,10139.19,Yes,Card,1,4.2,Returned
323,2024-08-27,37,Sports,13806.68,No,UPI,6,2.3,Cancelled
324,2024-07-26,42,Sports,24596.72,No,Wallet,4,4.9,Delivered
325,2024-06-06,32,Sports,22791.89,No,Wallet,7,4.9,Returned
326,2024-07-01,59,Electronics,13973.51,No,COD,10,2.8,Delivered
327,2024-09-06,64,Beauty,16149.4,No,Card,6,2.6,Cancelled
328,2024-05-18,64,Fashion,19793.56,No,UPI,4,4.8,Returned
329,2024-05-05,32,Beauty,6208.53,Yes,Wallet,6,1.4,Cancelled
330,2024-12-21,19,Electronics,16102.61,Yes,Card,9,2.9,Delivered
331,2024-09-29,26,Electronics,1774.06,Yes,Wallet,6,4.5,Delivered
332,2024-08-25,40,Electronics,23455.53,No,Card,6,2.4,Delivered
333,2024-12-29,52,Electronics,5624.94,No,Wallet,1,3.3,Delivered
334,2024-12-04,54,Home & Kitchen,11705.32,Yes,UPI,7,2.3,Cancelled
335,2024-06-25,35,Fashion,10223.34,No,Card,9,5.0,Returned
336,2024-03-05,47,Books,12038.15,No,UPI,4,1.6,Delivered
337,2024-10-05,55,Home & Kitchen,14800.96,No,UPI,10,3.2,Delivered
338,2024-02-18,63,Home & Kitchen,20199.86,Yes,Wallet,1,5.0,Cancelled
339,2024-07-18,56,Electronics,6556.42,Yes,COD,6,2.0,Delivered
340,2024-10-19,49,Beauty,23131.23,Yes,UPI,2,1.4,Delivered
341,2024-12-24,19,Fashion,5342.15,Yes,Card,3,1.8,Delivered
342,2024-05-08,18,Electronics,982.13,No,Card,1,2.3,Returned
343,2024-10-28,34,Electronics,24043.61,Yes,UPI,7,1.7,Cancelled
344,2024-03-21,22,Home & Kitchen,13726.81,No,Wallet,2,3.4,Returned
345,2024-11-20,33,Fashion,23847.28,No,Wallet,3,1.6,Returned
346,2024-04-21,51,Beauty,2658.28,Yes,Card,7,2.6,Returned
347,2024-09-01,36,Books,12765.21,No,Card,6,2.0,Delivered
348,2024-02-12,61,Beauty,13219.77,No,Wallet,3,3.0,Cancelled
349,2024-04-20,65,Electronics,14774.01,No,UPI,4,1.9,Returned
350,2024-02-16,19,Electronics,7968.01,No,Card,10,4.3,Cancelled
351,2024-04-25,49,Home & Kitchen,12872.01,No,UPI,5,1.8,Delivered
352,2024-02-27,42,Books,5745.73,No,COD,8,4.0,Cancelled
353,2024-07-29,23,Electronics,657.5,Yes,COD,1,1.9,Returned
354,2024-04-10,32,Electronics,22676.23,Yes,UPI,5,1.3,Cancelled
355,2024-04-02,32,Fashion,3555.25,No,Wallet,7,3.8,Delivered
356,2024-03-14,63,Electronics,11223.5,Yes,Card,10,2.4,Returned
357,2024-11-04,31,Home & Kitchen,11829.95,Yes,Card,5,2.6,Returned
